10	19
10	20
10	21
10	22
10	23
10	24
10	25
10	26
11	17
11	18
11	19
11	20
11	21
11	22
11	23
11	24
11	25
12	15
12	16
12	17
12	18
12	19
12	20
12	21
12	22
12	23
13	13
13	14
13	15
13	16
13	17
13	18
13	19
14	10
14	11
14	12
14	13
14	14
14	15
14	16
14	17
14	2
14	3
14	7
14	8
14	9
15	10
15	11
15	12
15	13
15	14
15	15
15	5
15	6
15	7
15	8
15	9
16	10
16	11
16	12
16	13
16	6
16	7
16	8
16	9
1	41
1	42
1	43
2	38
2	39
2	40
2	41
2	42
2	43
3	37
3	38
3	39
3	40
3	41
4	32
4	37
4	38
5	31
5	32
5	33
5	34
5	35
5	36
5	37
6	29
6	30
6	31
6	32
6	33
6	34
6	35
6	36
7	28
7	29
7	30
7	31
7	32
7	33
8	26
8	27
8	28
8	29
8	30
8	31
9	24
9	25
9	26
9	27
9	28
9	29
9	30
